model_type,learn_rate,batch_size,pooling_style,loss,accuracy
bert,0.001,64,avg,2.914939787076867,0.06111111111111111
bert,0.001,64,max,2.9134342152139414,0.05277777777777778
bert,0.001,128,avg,2.9132763743400574,0.05
bert,0.001,128,max,2.9028441508611045,0.04722222222222222
bert,0.0001,64,avg,0.0008929469268364103,0.8611111111111112
bert,0.0001,64,max,0.0010765668045243492,0.8833333333333333
bert,0.0001,128,avg,0.01031318367070829,0.825
bert,0.0001,128,max,0.001604824879905209,0.8583333333333333
gated_cnn,0.001,64,avg,0.002304780165381406,0.7166666666666667
gated_cnn,0.001,64,max,0.0009517286215787349,0.7361111111111112
gated_cnn,0.001,128,avg,0.004528652275136362,0.7194444444444444
gated_cnn,0.001,128,max,0.001475672674132511,0.7361111111111112
gated_cnn,0.0001,64,avg,0.4962166884671087,0.7138888888888889
gated_cnn,0.0001,64,max,0.06548892074952954,0.7166666666666667
gated_cnn,0.0001,128,avg,0.9853170315424601,0.6583333333333333
gated_cnn,0.0001,128,max,0.1673610359430313,0.7111111111111111
lstm,0.001,64,avg,0.07189213394430345,0.6583333333333333
lstm,0.001,64,max,0.006521773625813101,0.6888888888888889
lstm,0.001,128,avg,0.030254769876288872,0.6638888888888889
lstm,0.001,128,max,0.0041240462063190835,0.6805555555555556
lstm,0.0001,64,avg,0.04742358803101208,0.6194444444444445
lstm,0.0001,64,max,0.21107004388518955,0.6777777777777778
lstm,0.0001,128,avg,0.22767100359002748,0.6444444444444445
lstm,0.0001,128,max,1.085210844874382,0.6555555555555556
