0,1,2,3,4,5,6
model,lr,hidden_size,batch_size,pooling_style,acc,duration
gated_cnn,0.001,128,64,avg,0.859466221851543,33.2875919342041
gated_cnn,0.001,128,64,max,0.9382819015846539,32.841585874557495
gated_cnn,0.001,128,128,avg,0.9032527105921602,28.36451816558838
gated_cnn,0.001,128,128,max,0.8757297748123436,28.186386108398438
gated_cnn,0.0001,128,64,avg,0.9045037531276063,31.25298309326172
gated_cnn,0.0001,128,64,max,0.8744787322768974,31.334606885910034
gated_cnn,0.0001,128,128,avg,0.908673894912427,28.460050106048584
gated_cnn,0.0001,128,128,max,0.7998331943286072,28.342007875442505
bert,0.001,128,64,avg,0.9161801501251042,285.78449988365173
bert,0.001,128,64,max,0.9132610508757297,286.1376881599426
bert,0.001,128,128,avg,0.9020016680567139,230.76372385025024
bert,0.001,128,128,max,0.8753127606338615,234.42688727378845
bert,0.0001,128,64,avg,0.8928273561301084,282.0784740447998
bert,0.0001,128,64,max,0.908673894912427,285.700395822525
bert,0.0001,128,128,avg,0.8915763135946623,229.2249050140381
bert,0.0001,128,128,max,0.8974145120934112,234.2347230911255
lstm,0.001,128,64,avg,0.8878231859883235,40.472965717315674
lstm,0.001,128,64,max,0.8936613844870726,39.404083013534546
lstm,0.001,128,128,avg,0.8849040867389492,32.41236925125122
lstm,0.001,128,128,max,0.8794829024186822,32.925926208496094
lstm,0.0001,128,64,avg,0.8949124270225187,39.74519324302673
lstm,0.0001,128,64,max,0.853628023352794,39.96690034866333
lstm,0.0001,128,128,avg,0.8994995829858216,32.52494215965271
lstm,0.0001,128,128,max,0.9061718098415346,33.7831289768219
