learning_rate,hidden_size,num_layers,batch_size,model,acc,time_for_100
0.01,4,1,16,rnn,0.8548790658882403,0.021078824996948242
0.01,4,1,16,birnn,0.8623853211009175,0.021293163299560547
0.01,4,1,16,lstm,0.8690575479566305,0.03600668907165527
0.01,4,1,16,bilstm,0.8632193494578816,0.021004438400268555
0.01,4,1,256,rnn,0.8407005838198499,0.019005298614501953
0.01,4,1,256,birnn,0.8824020016680567,0.018018722534179688
0.01,4,1,256,lstm,0.8690575479566305,0.02600574493408203
0.01,4,1,256,bilstm,0.8740617180984154,0.020003318786621094
0.01,4,2,16,rnn,0.8265221017514596,0.021008729934692383
0.01,4,2,16,birnn,0.8773978315262719,0.02400374412536621
0.01,4,2,16,lstm,0.8673894912427023,0.022005081176757812
0.01,4,2,16,bilstm,0.8698915763135947,0.03000354766845703
0.01,4,2,256,rnn,0.8573811509591326,0.019003629684448242
0.01,4,2,256,birnn,0.8473728106755629,0.02500605583190918
0.01,4,2,256,lstm,0.8432026688907422,0.020004987716674805
0.01,4,2,256,bilstm,0.8824020016680567,0.025002717971801758
0.01,128,1,16,rnn,0.8440366972477065,0.028003931045532227
0.01,128,1,16,birnn,0.8490408673894912,0.02700495719909668
0.01,128,1,16,lstm,0.8665554628857381,0.019005298614501953
0.01,128,1,16,bilstm,0.8590492076730609,0.01600170135498047
0.01,128,1,256,rnn,0.8698915763135947,0.0200045108795166
0.01,128,1,256,birnn,0.859883236030025,0.023006916046142578
0.01,128,1,256,lstm,0.8807339449541285,0.0220034122467041
0.01,128,1,256,bilstm,0.8832360300250208,0.022005081176757812
0.01,128,2,16,rnn,0.6663886572143453,0.018004894256591797
0.01,128,2,16,birnn,0.6663886572143453,0.025007247924804688
0.01,128,2,16,lstm,0.878231859883236,0.027004718780517578
0.01,128,2,16,bilstm,0.8765638031693077,0.028003454208374023
0.01,128,2,256,rnn,0.854045037531276,0.024007320404052734
0.01,128,2,256,birnn,0.8740617180984154,0.02700638771057129
0.01,128,2,256,lstm,0.8607172643869891,0.023007869720458984
0.01,128,2,256,bilstm,0.8773978315262719,0.030005931854248047
0.001,4,1,16,rnn,0.8565471226021685,0.020123958587646484
0.001,4,1,16,birnn,0.8790658882402002,0.023004531860351562
0.001,4,1,16,lstm,0.8440366972477065,0.019005537033081055
0.001,4,1,16,bilstm,0.8715596330275229,0.02400493621826172
0.001,4,1,256,rnn,0.7472894078398665,0.01300501823425293
0.001,4,1,256,birnn,0.8298582151793161,0.02000260353088379
0.001,4,1,256,lstm,0.780650542118432,0.02000594139099121
0.001,4,1,256,bilstm,0.8298582151793161,0.023006677627563477
0.001,4,2,16,rnn,0.8523769808173478,0.022003650665283203
0.001,4,2,16,birnn,0.8807339449541285,0.0222318172454834
0.001,4,2,16,lstm,0.8573811509591326,0.02100539207458496
0.001,4,2,16,bilstm,0.8840700583819849,0.023005247116088867
0.001,4,2,256,rnn,0.7764804003336113,0.019005298614501953
0.001,4,2,256,birnn,0.8323603002502085,0.025006771087646484
0.001,4,2,256,lstm,0.8206839032527106,0.02200460433959961
0.001,4,2,256,bilstm,0.8098415346121768,0.03400588035583496
0.001,128,1,16,rnn,0.8657214345287739,0.019002676010131836
0.001,128,1,16,birnn,0.872393661384487,0.02100515365600586
0.001,128,1,16,lstm,0.8832360300250208,0.023004531860351562
0.001,128,1,16,bilstm,0.8874061718098415,0.02400684356689453
0.001,128,1,256,rnn,0.8957464553794829,0.021004676818847656
0.001,128,1,256,birnn,0.8882402001668057,0.02300262451171875
0.001,128,1,256,lstm,0.878231859883236,0.031004905700683594
0.001,128,1,256,bilstm,0.8832360300250208,0.028009891510009766
0.001,128,2,16,rnn,0.8565471226021685,0.031009674072265625
0.001,128,2,16,birnn,0.8665554628857381,0.023005962371826172
0.001,128,2,16,lstm,0.8832360300250208,0.022003889083862305
0.001,128,2,16,bilstm,0.8865721434528774,0.028006553649902344
0.001,128,2,256,rnn,0.8673894912427023,0.026004791259765625
0.001,128,2,256,birnn,0.8832360300250208,0.02200150489807129
0.001,128,2,256,lstm,0.8732276897414513,0.018010854721069336
0.001,128,2,256,bilstm,0.8865721434528774,0.031005144119262695
0.0001,4,1,16,rnn,0.7639699749791493,0.029000043869018555
0.0001,4,1,16,birnn,0.76814011676397,0.02801036834716797
0.0001,4,1,16,lstm,0.7906588824020017,0.025007963180541992
0.0001,4,1,16,bilstm,0.7848206839032527,0.02700209617614746
0.0001,4,1,256,rnn,0.6663886572143453,0.015992403030395508
0.0001,4,1,256,birnn,0.6663886572143453,0.021005868911743164
0.0001,4,1,256,lstm,0.6663886572143453,0.020003318786621094
0.0001,4,1,256,bilstm,0.6346955796497081,0.02600574493408203
0.0001,4,2,16,rnn,0.7080900750625522,0.02500319480895996
0.0001,4,2,16,birnn,0.755629691409508,0.029005050659179688
0.0001,4,2,16,lstm,0.7597998331943286,0.016002655029296875
0.0001,4,2,16,bilstm,0.8190158465387823,0.02600693702697754
0.0001,4,2,256,rnn,0.6663886572143453,0.020003795623779297
0.0001,4,2,256,birnn,0.6663886572143453,0.020003080368041992
0.0001,4,2,256,lstm,0.6663886572143453,0.03400921821594238
0.0001,4,2,256,bilstm,0.6663886572143453,0.022006511688232422
0.0001,128,1,16,rnn,0.8924103419516264,0.02800464630126953
0.0001,128,1,16,birnn,0.8890742285237698,0.024005413055419922
0.0001,128,1,16,lstm,0.8773978315262719,0.01999950408935547
0.0001,128,1,16,bilstm,0.890742285237698,0.03100895881652832
0.0001,128,1,256,rnn,0.8440366972477065,0.020004749298095703
0.0001,128,1,256,birnn,0.872393661384487,0.024003982543945312
0.0001,128,1,256,lstm,0.8507089241034195,0.020003795623779297
0.0001,128,1,256,bilstm,0.8849040867389492,0.02100825309753418
0.0001,128,2,16,rnn,0.8849040867389492,0.024003982543945312
0.0001,128,2,16,birnn,0.8807339449541285,0.027007102966308594
0.0001,128,2,16,lstm,0.8849040867389492,0.025008678436279297
0.0001,128,2,16,bilstm,0.8732276897414513,0.0330045223236084
0.0001,128,2,256,rnn,0.8498748957464554,0.024006366729736328
0.0001,128,2,256,birnn,0.8865721434528774,0.027004241943359375
0.0001,128,2,256,lstm,0.8773978315262719,0.02200627326965332
0.0001,128,2,256,bilstm,0.8899082568807339,0.03801274299621582
0.01,768,1,16,bert,0.6071726438698916,0.11202001571655273
0.01,768,1,256,bert,0.3336113427856547,0.0990290641784668
0.001,768,1,16,bert,0.371976647206005,0.10002470016479492
0.001,768,1,256,bert,0.8640533778148457,0.11302447319030762
0.0001,768,1,16,bert,0.8890742285237698,0.1033182144165039
0.0001,768,1,256,bert,0.8915763135946623,0.12102913856506348
