model,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,Final_accuracy,final_loss,final_accuracy,time
rnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.09076336781183879,0.8748957464553795,12.941368579864502
rnn,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.018812982145075995,0.8740617180984154,13.460040092468262
rnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.11350581889351209,0.8648874061718098,9.671894788742065
rnn,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.038675732016563415,0.8732276897414513,9.856760501861572
rnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.25194320157170297,0.8769808173477899,12.263022422790527
rnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.231438507437706,0.872393661384487,12.958152294158936
rnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.2683571946620941,0.8632193494578816,9.663781642913818
rnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.2550645204385122,0.8748957464553795,10.336832284927368
cnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.21944275413950284,0.8736447039199333,12.029685974121094
cnn,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.01090759241875882,0.8844870725604671,21.533379316329956
cnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.22598094443480174,0.872393661384487,10.815031290054321
cnn,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.011438787281513214,0.8832360300250208,10.214909076690674
cnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.3140854091445605,0.8690575479566305,11.301838159561157
cnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.17379050264755885,0.8865721434528774,11.5835440158844
cnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.330369074344635,0.8569641367806505,10.601682186126709
cnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.21341792156298955,0.8807339449541285,10.406808614730835
fast_text,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.2371203725039959,0.8790658882402002,11.760851383209229
fast_text,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.21830104087789853,0.8686405337781484,11.862748861312866
fast_text,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.2535125927130381,0.878231859883236,11.166369676589966
fast_text,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.27091086268424985,0.8648874061718098,11.032015323638916
fast_text,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.41943432251612345,0.8315262718932444,13.474118947982788
fast_text,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.45037559151649476,0.8035863219349458,12.721259355545044
fast_text,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.5066659220059713,0.7698081734778982,11.23099684715271
fast_text,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.5013119300206502,0.7756463719766472,11.134507656097412
gru,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.014388321225414984,0.8744787322768974,19.141132354736328
gru,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.020529327965341508,0.8603002502085071,19.13885760307312
gru,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.03396773307894667,0.8728106755629691,15.034730434417725
gru,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.038459363530079525,0.8740617180984154,15.566567420959473
gru,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.2048621209959189,0.8811509591326105,17.661765098571777
gru,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.1944532200694084,0.8744787322768974,14.153693675994873
gru,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.22263854970534644,0.8828190158465388,11.675495862960815
gru,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.21681155055761336,0.8832360300250208,12.118281602859497
gated_cnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.05912639370188117,0.8753127606338615,12.568954706192017
gated_cnn,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.009853615559404717,0.8824020016680567,12.712058067321777
gated_cnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.10751880958676338,0.8811509591326105,10.364827156066895
gated_cnn,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.009796704097340504,0.8798999165971643,10.493655443191528
gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.27685177932182947,0.8807339449541285,12.452471494674683
gated_cnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.16112078949809075,0.8878231859883235,13.011669635772705
gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.30752545555432637,0.8690575479566305,10.166265726089478
gated_cnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.21780410826206206,0.8869891576313594,10.96879506111145
stack_gated_cnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.03094075811561197,0.8707256046705588,20.803768634796143
stack_gated_cnn,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.010789732570604732,0.8853211009174312,21.02180767059326
stack_gated_cnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.03924884259079894,0.8682235195996664,15.900978565216064
stack_gated_cnn,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.010577134114379685,0.8786488740617181,15.801969766616821
stack_gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.2006573640803496,0.878231859883236,21.31157159805298
stack_gated_cnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.12637771698335806,0.8819849874895747,21.38003420829773
stack_gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.23990534683068593,0.8844870725604671,15.940745830535889
stack_gated_cnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.1698842391371727,0.8861551292743953,15.916679859161377
rcnn,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.15458676459888618,0.8790658882402002,16.320427417755127
rcnn,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.017786669225121537,0.871976647206005,16.277885913848877
rcnn,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.17917396734158197,0.878231859883236,12.11720085144043
rcnn,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.023093465430041153,0.8673894912427023,12.14684247970581
rcnn,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.29820638249317805,0.8753127606338615,16.25478982925415
rcnn,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.22495761940876643,0.8857381150959133,16.438034057617188
rcnn,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.32110542456309,0.8640533778148457,12.18158483505249
rcnn,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.25652471323808035,0.8899082568807339,12.246144771575928
bert,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.11789620560904344,0.8615512927439533,110.19241905212402
bert,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.14137082984050114,0.8657214345287739,104.79814624786377
bert,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.08257277173300584,0.8619683069224353,92.55602049827576
bert,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.09300392620265484,0.8669724770642202,92.77274656295776
bert,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.014665556961748129,0.8669724770642202,112.03744912147522
bert,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.009232396974305933,0.8736447039199333,109.27880120277405
bert,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.021982488801392416,0.859466221851543,100.01292896270752
bert,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.014901328490426143,0.8761467889908257,95.56713891029358
bert_lstm,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.18285676394899686,0.859466221851543,164.26667189598083
bert_lstm,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.19104215249419212,0.8623853211009175,167.48499274253845
bert_lstm,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.11837597245971362,0.8615512927439533,146.73401141166687
bert_lstm,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.10478800589839618,0.8552960800667223,146.77211785316467
bert_lstm,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.02212553917391536,0.8786488740617181,161.14124274253845
bert_lstm,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.016732996370992622,0.8690575479566305,167.33825135231018
bert_lstm,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.03438998923947414,0.8632193494578816,137.45787835121155
bert_lstm,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.016028581373393535,0.8711426188490409,115.72493934631348
bert_cnn,30,768,3,2,15,64,avg,adam,0.001,2,4622,,0.1255198114241163,0.8678065054211843,111.94441533088684
bert_cnn,30,768,3,2,15,64,max,adam,0.001,2,4622,,0.15939125468333562,0.8469557964970809,112.10573291778564
bert_cnn,30,768,3,2,15,128,avg,adam,0.001,2,4622,,0.0829343193769455,0.8577981651376146,98.88041496276855
bert_cnn,30,768,3,2,15,128,max,adam,0.001,2,4622,,0.07160491451621055,0.8628023352793995,98.9444489479065
bert_cnn,30,768,3,2,15,64,avg,adam,0.0001,2,4622,,0.021856262101306735,0.8703085904920768,111.60831046104431
bert_cnn,30,768,3,2,15,64,max,adam,0.0001,2,4622,,0.008330982475308701,0.8857381150959133,112.23992323875427
bert_cnn,30,768,3,2,15,128,avg,adam,0.0001,2,4622,,0.02997023315867409,0.877814845704754,98.67076420783997
bert_cnn,30,768,3,2,15,128,max,adam,0.0001,2,4622,,0.011466323031733434,0.8882402001668057,97.5703136920929
bert_mid_layer,30,128,3,2,15,64,avg,adam,0.001,2,4622,,0.12201175826291243,0.8586321934945789,85.18076467514038
bert_mid_layer,30,128,3,2,15,64,max,adam,0.001,2,4622,,0.030456687933765353,0.8761467889908257,84.74303388595581
bert_mid_layer,30,128,3,2,15,128,avg,adam,0.001,2,4622,,0.08453345601757367,0.8552960800667223,73.33816289901733
bert_mid_layer,30,128,3,2,15,128,max,adam,0.001,2,4622,,0.0357081294618547,0.859883236030025,72.9455156326294
bert_mid_layer,30,128,3,2,15,64,avg,adam,0.0001,2,4622,,0.016016096483605604,0.872393661384487,86.38552522659302
bert_mid_layer,30,128,3,2,15,64,max,adam,0.0001,2,4622,,0.011706675579771399,0.8794829024186822,86.13030314445496
bert_mid_layer,30,128,3,2,15,128,avg,adam,0.0001,2,4622,,0.026385175194591284,0.8673894912427023,74.52700328826904
bert_mid_layer,30,128,3,2,15,128,max,adam,0.0001,2,4622,,0.024268486946821214,0.8798999165971643,74.24250078201294
